date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:38	16056/16056	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2007:04:39%20GMT	https://ketnoigiasu.vn/trac-nghiem	D:/clone_giasu/ketnoigiasu.vn/trac-nghiem.html	(from https://ketnoigiasu.vn/)
14:04:38	21266/21266	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2007:04:39%20GMT	https://ketnoigiasu.vn/tai-lieu	D:/clone_giasu/ketnoigiasu.vn/tai-lieu.html	(from https://ketnoigiasu.vn/)
14:04:39	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2007:04:39%20GMT	http://ketnoigiasu.vn/?is_new=teacher	D:/clone_giasu/ketnoigiasu.vn/index072b.html	(from https://ketnoigiasu.vn/)
14:04:39	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2007:04:39%20GMT	http://ketnoigiasu.vn/?is_new=student	D:/clone_giasu/ketnoigiasu.vn/index5676.html	(from https://ketnoigiasu.vn/)
14:04:39	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2007:04:39%20GMT	http://ketnoigiasu.vn/lop-hoc-st702	D:/clone_giasu/ketnoigiasu.vn/lop-hoc-st702.17.delayed	(from https://ketnoigiasu.vn/)
14:04:40	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2007:04:40%20GMT	http://ketnoigiasu.vn/?is_new=academy	D:/clone_giasu/ketnoigiasu.vn/index548d.html	(from https://ketnoigiasu.vn/)
14:04:40	20019/20019	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2007:04:39%20GMT	https://ketnoigiasu.vn/tin-tuc	D:/clone_giasu/ketnoigiasu.vn/tin-tuc.html	(from https://ketnoigiasu.vn/)
14:04:40	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2007:04:41%20GMT	http://ketnoigiasu.vn/lop-hoc-st530	D:/clone_giasu/ketnoigiasu.vn/lop-hoc-st530	(from https://ketnoigiasu.vn/)
14:04:40	19418/19418	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2007:04:40%20GMT	https://ketnoigiasu.vn/lop-hoc-st702	D:/clone_giasu/ketnoigiasu.vn/lop-hoc-st702.html	(from https://ketnoigiasu.vn/)
14:04:40	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2007:04:41%20GMT	http://ketnoigiasu.vn/lop-hoc-st529	D:/clone_giasu/ketnoigiasu.vn/lop-hoc-st529	(from https://ketnoigiasu.vn/)
14:04:40	19472/19472	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2007:04:41%20GMT	https://ketnoigiasu.vn/lop-hoc-st530	D:/clone_giasu/ketnoigiasu.vn/lop-hoc-st530.html	(from https://ketnoigiasu.vn/)
14:04:41	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2007:04:41%20GMT	http://ketnoigiasu.vn/lop-hoc-st522	D:/clone_giasu/ketnoigiasu.vn/lop-hoc-st522	(from https://ketnoigiasu.vn/)
14:04:41	19512/19512	---MC-	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2007:04:41%20GMT	https://ketnoigiasu.vn/lop-hoc-st529	D:/clone_giasu/ketnoigiasu.vn/lop-hoc-st529.html	(from https://ketnoigiasu.vn/)
